"Sample_1","Sample_2","Site_1","Site_2","Bray_Curtis","Pair"
"220609_07","220707_16","Veragua","Altos de Campana",0.616593929740731,"Veragua vs Altos de Campana"
"220707_11","220707_16","Altos de Campana","Altos de Campana",0.617768165433504,"Altos de Campana vs Altos de Campana"
"220707_12","220707_16","Altos de Campana","Altos de Campana",0.499256085686466,"Altos de Campana vs Altos de Campana"
"220707_13","220707_16","Altos de Campana","Altos de Campana",0.584065040650406,"Altos de Campana vs Altos de Campana"
"220707_14","220707_16","Altos de Campana","Altos de Campana",0.648702619414484,"Altos de Campana vs Altos de Campana"
"220707_15","220707_16","Altos de Campana","Altos de Campana",0.64633962264151,"Altos de Campana vs Altos de Campana"
"220604_01","220707_17","Veragua","Altos de Campana",0.806485388156911,"Veragua vs Altos de Campana"
"220604_02","220707_17","Veragua","Altos de Campana",0.734263148532796,"Veragua vs Altos de Campana"
"220604_03","220707_17","Veragua","Altos de Campana",0.539154477931148,"Veragua vs Altos de Campana"
"220604_04","220707_17","Veragua","Altos de Campana",0.576072633643584,"Veragua vs Altos de Campana"
"220604_05","220707_17","Veragua","Altos de Campana",0.663998287903169,"Veragua vs Altos de Campana"
"220604_06","220707_17","Veragua","Altos de Campana",0.687183172738511,"Veragua vs Altos de Campana"
"220604_07","220707_17","Veragua","Altos de Campana",0.662823297880646,"Veragua vs Altos de Campana"
"220606_02","220707_17","Veragua","Altos de Campana",0.635674448716214,"Veragua vs Altos de Campana"
"220606_04","220707_17","Veragua","Altos de Campana",0.786806228965832,"Veragua vs Altos de Campana"
"220607_01","220707_17","Veragua","Altos de Campana",0.698849757174535,"Veragua vs Altos de Campana"
"220607_02","220707_17","Veragua","Altos de Campana",0.643524854679791,"Veragua vs Altos de Campana"
"220607_03","220707_17","Veragua","Altos de Campana",0.635157799378107,"Veragua vs Altos de Campana"
"220607_04","220707_17","Veragua","Altos de Campana",0.650863794444451,"Veragua vs Altos de Campana"
"220609_01","220707_17","Veragua","Altos de Campana",0.750857629584938,"Veragua vs Altos de Campana"
"220609_02","220707_17","Veragua","Altos de Campana",0.648696088709082,"Veragua vs Altos de Campana"
"220609_03","220707_17","Veragua","Altos de Campana",0.514721418101219,"Veragua vs Altos de Campana"
"220609_04","220707_17","Veragua","Altos de Campana",0.525145067698259,"Veragua vs Altos de Campana"
"220609_07","220707_17","Veragua","Altos de Campana",0.724174458123817,"Veragua vs Altos de Campana"
"220707_11","220707_17","Altos de Campana","Altos de Campana",0.602906417986523,"Altos de Campana vs Altos de Campana"
"220707_12","220707_17","Altos de Campana","Altos de Campana",0.549569740789779,"Altos de Campana vs Altos de Campana"
"220707_13","220707_17","Altos de Campana","Altos de Campana",0.678758000345961,"Altos de Campana vs Altos de Campana"
"220707_14","220707_17","Altos de Campana","Altos de Campana",0.606235452250598,"Altos de Campana vs Altos de Campana"
"220707_15","220707_17","Altos de Campana","Altos de Campana",0.629294551293748,"Altos de Campana vs Altos de Campana"
"220707_16","220707_17","Altos de Campana","Altos de Campana",0.711159252095422,"Altos de Campana vs Altos de Campana"
"220604_01","220707_18","Veragua","Altos de Campana",0.698913559447252,"Veragua vs Altos de Campana"
"220604_02","220707_18","Veragua","Altos de Campana",0.805799493844236,"Veragua vs Altos de Campana"
"220604_03","220707_18","Veragua","Altos de Campana",0.739611619912352,"Veragua vs Altos de Campana"
