"Genus","220604_01","220604_02","220604_03","220604_04","220604_05","220604_06","220604_07","220606_02","220606_04","220607_01","220607_02","220607_03","220607_04","220609_01","220609_02","220609_03","220609_04","220609_07","220707_11","220707_12","220707_13","220707_14","220707_15","220707_16","220707_17","220707_18","220707_19","220707_20","220708_01","220708_02","220708_03","220708_04","220708_05","220708_06","220708_07","220708_08","220708_09","220708_10","250607_01","250607_02","250607_03","250607_04","250607_05","250607_07","250607_08","250607_09","250607_10"
"Kribbella",0,0,0,0,31,0,0,0,0,8,0,0,3,0,16,35,0,923,659,0,0,0,0,5,0,282,0,11,0,0,0,0,0,23,50,8,67,0,0,0,0,0,0,0,0,0,0
"Marmoricola",55,21,335,30,63,38,814,26,0,42,75,128,54,0,1006,392,103,3174,287,19,80,110,81,0,84,903,41,72,32,35,153,60,10,44,427,199,585,35,0,0,13,0,9,23,9,7,0
"Achromobacter",0,32,245,0,0,0,0,0,0,4,0,0,53,0,15,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,52,10,0,297,105,0,0,0,0,513,0,0,43
"Unclassified_Simkaniaceae",0,0,10,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7,0,0,18,7,18,0,0,0,0,7,0,0,0,39,0,3,0,15,0,0,10,1178,0,0,0,0
"Cytophaga",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,28,56,42,4,3,0,0,0,0,0,0,8,3,22,0,0,0,0,0,0,2831,0,35,0
"Unclassified_Acetobacteraceae",0,0,171,160,0,45,3345,302,9,641,229,530,164,0,272,180,79,1498,423,245,231,443,225,531,376,981,521,404,45,976,1248,580,80,423,205,225,104,22,0,15,312,0,0,41,27,0,16
"Bosea",12,0,158,0,6,0,18,28,0,0,0,35,0,0,0,0,35,1170,122,40,14,54,8,29,0,48,33,70,28,0,62,0,10,23,98,44,191,270,0,0,24,0,0,263,14,42,0
"Rhizorhapis",0,0,0,0,0,0,0,9,0,40,0,75,34,0,0,38,58,8,93,98,20,0,0,70,210,87,16,58,15,0,12,0,0,173,40,37,97,29,19,0,30,0,0,113,35,0,0
"Sediminibacterium",0,0,11,0,0,0,697,72,0,123,0,91,0,0,0,0,0,16,12,156,0,11,0,76,69,168,49,106,58,29,27,0,0,0,0,6,28,0,0,0,31,0,0,116,0,0,0
"Micromonospora",0,0,0,0,0,0,52,0,0,0,0,124,13,0,0,0,111,78,61,0,111,34,0,0,0,0,109,130,0,0,42,0,0,0,0,364,52,0,18,0,0,0,0,0,0,0,0
"Unclassified_Micropepsaceae",0,0,22,0,0,0,69,0,0,0,22,126,20,0,0,0,14,0,18,74,83,14,15,316,254,1362,33,83,12,9,15,18,3,9,42,31,66,0,0,0,70,0,0,0,0,0,0
"Unclassified_Nocardioidaceae",0,0,0,0,0,0,0,79,0,28,11,0,14,0,969,0,54,228,0,0,7,0,8,11,4,28,16,0,68,7,6,22,4,0,61,100,98,0,0,0,0,0,0,0,0,0,0
"Cellulomonas",0,0,0,0,0,91,0,28,0,0,0,0,0,0,0,0,0,726,0,0,0,43,0,0,46,0,0,0,0,0,0,0,0,67,214,8,56,0,0,0,146,0,0,37,0,0,0
"Rhodococcus",14,0,0,26,0,151,239,73,20,0,0,0,22,237,74,61,0,74,62,4,11,10,0,8,9,0,19,0,18,123,51,26,0,0,0,32,0,64,0,0,0,0,22,82,32,0,0
"Scytonema VB-61278",0,0,0,0,0,0,320,12,11,27,0,31,16,0,178,463,2572,0,183,52,38,12,19,75,115,45,17,94,8,6,0,196,89,0,0,176,268,13,0,0,36,0,0,0,0,12,0
"Kineosporia",38,0,0,54,0,184,334,31,0,23,39,42,26,0,95,66,20,584,99,20,391,55,10,116,182,89,197,131,19,22,11,20,0,0,53,0,49,0,0,13,24,0,0,0,0,33,0
"Granulicella",0,0,0,0,0,0,324,24,0,189,0,75,0,0,0,0,0,0,125,198,0,0,0,328,198,1311,2,0,37,161,94,53,0,19,24,0,0,0,0,0,19,0,0,50,16,0,3
"Unclassified_Xanthobacteraceae",15,0,122,19,0,45,356,118,0,43,651,285,29,0,730,28,78,195,98,64,253,153,77,30,82,950,0,221,76,27,46,198,0,107,28,46,351,0,0,15,55,0,0,126,18,11,0
"Flexivirga",0,0,0,333,0,0,64,0,0,0,0,0,29,0,43,0,0,277,0,0,9,47,13,11,0,0,0,0,114,25,418,29,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0
"Truepera",0,15,36,0,0,0,165,0,0,0,0,8,0,0,633,0,38,0,0,0,0,20,0,0,5,20,0,18,132,0,6,0,0,0,19,37,37,0,8,0,0,0,0,0,0,0,0
"Solirubrobacter",9,0,0,68,0,136,495,262,12,28,14,136,93,0,173,0,126,2889,212,29,158,213,0,100,64,300,544,195,52,10,0,15,30,13,319,250,651,0,0,0,102,0,0,89,0,6,0
"Aetokthonos AEL04",31,0,0,0,0,0,103,0,0,0,0,8,0,0,0,0,12,0,0,0,0,0,0,18,53,832,53,98,0,0,0,0,0,0,0,0,306,0,0,0,0,0,0,0,0,0,0
"Anaerococcus",58,38,0,0,59,0,482,60,0,0,0,14,78,0,29,322,11,628,33,6,9,0,0,0,0,0,7,0,13,134,5,146,11,7,0,0,2,0,28,60,0,0,0,0,27,49,0
"Labrys",15,0,31,170,0,0,661,0,8,24,0,18,0,0,0,0,72,95,20,145,72,45,15,23,11,55,92,12,23,45,0,25,0,0,50,0,57,0,15,0,11,0,11,0,0,0,0
