"Genus_full","Sample_ID","Row_scaled_rCLR","Genus"
"Halomonas","220609_07",0.929786205086133,"Halomonas"
"Staphylococcus","220609_07",0.789268850189686,"Staphylococcus"
"Mycoplasma","220609_07",-0.211225742331194,"Mycoplasma"
"Tumebacillus","220609_07",0.498353076673613,"Tumebacillus"
"Bacillus","220609_07",1.09848660816073,"Bacillus"
"Paracoccus","220609_07",-0.822521908847724,"Paracoccus"
"Acinetobacter","220609_07",-0.401324479210008,"Acinetobacter"
"Chryseobacterium","220609_07",-1.86764691838508,"Chryseobacterium"
"Pseudomonas","220609_07",-1.49454075646285,"Pseudomonas"
"Unclassified_Bacteria","220604_07",0.64085394626131,"Uncl. Bacteria"
"Methylobacterium-Methylorubrum","220604_07",1.2453432251252,"Methylobacterium-Methylorubrum"
"Actinomycetospora","220604_07",1.42538969685687,"Actinomycetospora"
"1174-901-12","220604_07",1.39504853721621,"1174-901-12"
"Marmoricola","220604_07",0.721140391774996,"Marmoricola"
"Unclassified_Caulobacteraceae","220604_07",0.633502721779582,"Uncl. Caulobacteraceae"
"Mycobacterium","220604_07",0.442964177194876,"Mycobacterium"
"Unclassified_Acetobacteraceae","220604_07",0.976211417590576,"Uncl. Acetobacteraceae"
"Jatrophihabitans","220604_07",0.820483698298477,"Jatrophihabitans"
"Methylocella","220604_07",0.813232412139906,"Methylocella"
"Conexibacter","220604_07",0.669528743252374,"Conexibacter"
"Actinoplanes","220604_07",0.521930311245255,"Actinoplanes"
"Pseudonocardia","220604_07",0.927456830097218,"Pseudonocardia"
"Unclassified_67-14","220604_07",1.07695021467972,"Uncl. 67-14"
"Corynebacterium","220604_07",1.4143631475166,"Corynebacterium"
"Caldalkalibacillus","220604_07",0.870880071986151,"Caldalkalibacillus"
"Nesterenkonia","220604_07",0.799617175079442,"Nesterenkonia"
"Unclassified_Bacillaceae","220604_07",0.877003709336158,"Uncl. Bacillaceae"
"Unclassified_Caloramatoraceae","220604_07",0.742044096959026,"Uncl. Caloramatoraceae"
"Anoxybacillus","220604_07",0.744464200297526,"Anoxybacillus"
"Clostridium sensu stricto 12","220604_07",0.752321688828285,"Clostridium sensu stricto 12"
"Halomonas","220604_07",0.695988932926457,"Halomonas"
"Staphylococcus","220604_07",0.328707547398935,"Staphylococcus"
"Mycoplasma","220604_07",-0.156475957552362,"Mycoplasma"
"Tumebacillus","220604_07",0.565684201504314,"Tumebacillus"
"Bacillus","220604_07",0.892029986036811,"Bacillus"
"Paracoccus","220604_07",-0.572452639941343,"Paracoccus"
"Acinetobacter","220604_07",-0.458892050266025,"Acinetobacter"
"Chryseobacterium","220604_07",-1.48695934251205,"Chryseobacterium"
"Pseudomonas","220604_07",-1.2939081866491,"Pseudomonas"
"Unclassified_Bacteria","220609_02",0.450952645447076,"Uncl. Bacteria"
"Methylobacterium-Methylorubrum","220609_02",1.22350399976899,"Methylobacterium-Methylorubrum"
"Actinomycetospora","220609_02",1.45629039528636,"Actinomycetospora"
"1174-901-12","220609_02",1.4130305219722,"1174-901-12"
"Marmoricola","220609_02",0.452979157906322,"Marmoricola"
"Unclassified_Caulobacteraceae","220609_02",0.349403240850414,"Uncl. Caulobacteraceae"
"Mycobacterium","220609_02",0.117878987427832,"Mycobacterium"
"Unclassified_Acetobacteraceae","220609_02",0.791417894568377,"Uncl. Acetobacteraceae"
"Jatrophihabitans","220609_02",0.586013345233638,"Jatrophihabitans"
"Methylocella","220609_02",0.575218745778076,"Methylocella"
"Conexibacter","220609_02",0.388795765101697,"Conexibacter"
"Actinoplanes","220609_02",0.201679966316797,"Actinoplanes"
"Pseudonocardia","220609_02",0.725138802775538,"Pseudonocardia"
"Unclassified_67-14","220609_02",0.929002427586482,"Uncl. 67-14"
"Corynebacterium","220609_02",1.80429565629197,"Corynebacterium"
"Caldalkalibacillus","220609_02",1.3298640713932,"Caldalkalibacillus"
"Nesterenkonia","220609_02",1.2655661654187,"Nesterenkonia"
"Unclassified_Bacillaceae","220609_02",1.35571901299987,"Uncl. Bacillaceae"
"Unclassified_Caloramatoraceae","220609_02",1.22109736712332,"Uncl. Caloramatoraceae"
"Anoxybacillus","220609_02",1.21423873443498,"Anoxybacillus"
"Clostridium sensu stricto 12","220609_02",1.23268660216738,"Clostridium sensu stricto 12"
"Halomonas","220609_02",1.17588831562519,"Halomonas"
"Staphylococcus","220609_02",0.65881709018255,"Staphylococcus"
"Mycoplasma","220609_02",0.238972141592669,"Mycoplasma"
"Tumebacillus","220609_02",0.987970580921478,"Tumebacillus"
"Bacillus","220609_02",1.36357789012613,"Bacillus"
