"Genus","Prevalence","Prevalence_samples","Mean_relative_abundance","Retained"
"Akkermansia",0.0212765957446809,1,0.000278605353628447,FALSE
"Kribbella",0.297872340425532,14,0.000494876439381827,TRUE
"Brachyspira",0.0851063829787234,4,0.000350438810470771,FALSE
"Marmoricola",0.851063829787234,40,0.00236272272167123,TRUE
"Achromobacter",0.276595744680851,13,0.000573401575417166,TRUE
"Thermoflavimicrobium",0.0212765957446809,1,0.00107351894952047,FALSE
"Lacticaseibacillus",0.0425531914893617,2,0.000194274224361171,FALSE
"Unclassified_Simkaniaceae",0.25531914893617,12,0.000795957284948821,TRUE
"Cytophaga",0.276595744680851,13,0.000692329121722193,TRUE
"Unclassified_Acetobacteraceae",0.829787234042553,39,0.00615760536317411,TRUE
"Bosea",0.617021276595745,29,0.00089987757544624,TRUE
"Rhizorhapis",0.553191489361702,26,0.000624266640023081,TRUE
"Sediminibacterium",0.446808510638298,21,0.00065800467680313,TRUE
"Micromonospora",0.297872340425532,14,0.000616797232752071,TRUE
"Unclassified_Micropepsaceae",0.553191489361702,26,0.000915999726826307,TRUE
"Unclassified_Nocardioidaceae",0.446808510638298,21,0.000454659775076517,TRUE
"Cellulomonas",0.234042553191489,11,0.000361970749941597,TRUE
"Rhodococcus",0.574468085106383,27,0.00074116105641815,TRUE
"Scytonema VB-61278",0.595744680851064,28,0.00256371997014069,TRUE
"Kineosporia",0.680851063829787,32,0.00116361874931424,TRUE
"Granulicella",0.425531914893617,20,0.00110840086380253,TRUE
"Cedecea",0.0638297872340425,3,0.000318318880369703,FALSE
"Serratia",0.191489361702128,9,0.00038788491831229,FALSE
"Unclassified_Xanthobacteraceae",0.765957446808511,36,0.0023082712467789,TRUE
"Lactococcus",0.170212765957447,8,0.000435324014725781,FALSE
"Flexivirga",0.297872340425532,14,0.000707869960077972,TRUE
"Truepera",0.340425531914894,16,0.000326584656263188,TRUE
"Solirubrobacter",0.702127659574468,33,0.00230805637100802,TRUE
"Aurantimonas",0.191489361702128,9,0.000293609528566084,FALSE
"Sandaracinobacter",0.106382978723404,5,0.000226273692161208,FALSE
"Aetokthonos AEL04",0.212765957446809,10,0.000426021874706018,TRUE
"Anaerococcus",0.553191489361702,26,0.000684655389768908,TRUE
"Porphyromonas",0.106382978723404,5,0.000478702143068439,FALSE
"Labrys",0.574468085106383,27,0.000685866848102318,TRUE
"Unclassified_BIrii41",0.702127659574468,33,0.00168517022234871,TRUE
"Thermoanaerobacterium",0.574468085106383,27,0.000774641249923629,TRUE
"Unclassified_Comamonadaceae",0.617021276595745,29,0.00155009146252159,TRUE
"Brevundimonas",0.787234042553192,37,0.00179053309157497,TRUE
"Ramlibacter",0.191489361702128,9,0.000645603872023306,FALSE
"Cystobacter",0.191489361702128,9,0.00142900122828767,FALSE
"Finegoldia",0.319148936170213,15,0.000357099694684854,TRUE
"Acidiphilium",0.617021276595745,29,0.00189256799087796,TRUE
"Nostoc PCC-73102",0.191489361702128,9,0.000478115246232783,FALSE
"Paracoccus",0.531914893617021,25,0.00101164069845225,TRUE
"Unclassified_Selenomonadaceae",0.0425531914893617,2,0.000206442165491413,FALSE
"Acidibacter",0.574468085106383,27,0.000980268610800017,TRUE
"Pantoea",0.0851063829787234,4,0.000339349532928487,FALSE
"Dactylosporangium",0.319148936170213,15,0.000344737906784323,TRUE
"Burkholderia-Caballeronia-Paraburkholderia",0.723404255319149,34,0.00178812597109823,TRUE
"Pseudorhizobium",0.212765957446809,10,0.000459594764487643,TRUE
"Novosphingobium",0.808510638297872,38,0.00235284754149815,TRUE
"Bryobacter",0.680851063829787,32,0.00318275250618892,TRUE
"Pedobacter",0.51063829787234,24,0.00120742266931094,TRUE
"Unclassified_Lachnospiraceae",0.276595744680851,13,0.000932031183447122,TRUE
"Raoultella",0.170212765957447,8,0.000316962932387366,FALSE
"Candidatus Solibacter",0.425531914893617,20,0.000776336380010493,TRUE
"Rhodopseudomonas",0.553191489361702,26,0.000918132177158898,TRUE
"MN 122.2a",0.446808510638298,21,0.000506427327930363,TRUE
"Unclassified_Solimonadaceae",0.702127659574468,33,0.000636737433149,TRUE
"Duganella",0.25531914893617,12,0.000524666432000776,TRUE
"Xylophilus",0.297872340425532,14,0.000527273780097579,TRUE
"Chroococcidiopsis PCC 7203",0.191489361702128,9,0.000298894911786349,FALSE
"Ellin6055",0.617021276595745,29,0.00111240013881208,TRUE
"Melittangium",0.127659574468085,6,0.000212000609476567,FALSE
"Spirosoma",0.851063829787234,40,0.00349430823478442,TRUE
"Unclassified_Chthoniobacteraceae",0.297872340425532,14,0.000400827258374129,TRUE
"Longivirga",0.0638297872340425,3,0.000229648143457278,FALSE
"Unclassified_Oscillospiraceae",0.0425531914893617,2,0.000300023844083068,FALSE
"Acuticoccus",0.340425531914894,16,0.000342210938437409,TRUE
"Aurantisolimonas",0.617021276595745,29,0.000920878391743084,TRUE
"Granulicatella",0.148936170212766,7,0.00113204955728342,FALSE
"Paenarthrobacter",0.127659574468085,6,0.000299581531526134,FALSE
"Cellvibrio",0.425531914893617,20,0.000599018290345153,TRUE
